item,paper,condition,subcondition,aging,measure,timing,index
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,2
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,3
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,1
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,2
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,3
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,1
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,2
AR 41,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,3
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,1
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,2
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,3
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,1
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,2
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,3
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,1
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,2
AR 42,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,3
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,1
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,2
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,3
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,1
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,2
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,3
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,1
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,2
AR 43,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,3
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,1
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,2
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,3
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,1
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,2
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,3
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,1
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,2
AR 44,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,3
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,1
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,2
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,BT,3
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,1
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,2
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AT,3
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,1
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,2
AR 45,Blue Sample Book Alum Rosin Paper,2% CP Kelco,No Interleaving,Aged,ph,AA,3
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,1
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,2
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,3
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,1
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,2
AR 46,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,3
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,1
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,2
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,3
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,1
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,2
AR 47,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,3
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,1
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,2
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,3
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,1
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,2
AR 48,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,3
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,1
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,2
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,3
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,1
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,2
AR 49,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,3
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,1
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,2
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,BT,3
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,1
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,2
AR 50,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Not Aged,ph,AT,3
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,1
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,2
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,3
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,1
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,2
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,3
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,1
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,2
AR 51,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,3
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,1
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,2
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,3
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,1
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,2
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,3
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,1
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,2
AR 52,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,3
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,1
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,2
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,3
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,1
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,2
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,3
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,1
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,2
AR 53,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,3
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,1
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,2
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,3
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,1
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,2
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,3
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,1
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,2
AR 54,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,3
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,1
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,2
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,BT,3
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,1
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,2
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AT,3
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,1
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,2
AR 55,Blue Sample Book Alum Rosin Paper,2% CP Kelco,Interleaving,Aged,ph,AA,3
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,1
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,2
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,3
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,1
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,2
AR 56,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,3
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,1
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,2
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,3
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,1
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,2
AR 57,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,3
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,1
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,2
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,3
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,1
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,2
AR 58,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,3
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,1
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,2
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,3
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,1
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,2
AR 59,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,3
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,1
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,2
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,BT,3
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,1
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,2
AR 60,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Not Aged,ph,AT,3
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,1
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,2
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,3
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,1
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,2
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,3
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,1
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,2
AR 61,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,3
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,1
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,2
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,3
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,1
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,2
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,3
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,1
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,2
AR 62,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,3
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,1
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,2
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,3
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,1
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,2
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,3
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,1
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,2
AR 63,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,3
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,1
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,2
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,3
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,1
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,2
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,3
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,1
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,2
AR 64,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,3
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,1
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,2
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,BT,3
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,1
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,2
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AT,3
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,1
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,2
AR 65,Blue Sample Book Alum Rosin Paper,5% Agarose,No Interleaving,Aged,ph,AA,3
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,1
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,2
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,3
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,1
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,2
AR 66,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,3
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,1
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,2
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,3
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,1
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,2
AR 67,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,3
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,1
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,2
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,3
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,1
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,2
AR 68,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,3
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,1
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,2
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,3
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,1
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,2
AR 69,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,3
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,1
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,2
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,BT,3
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,1
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,2
AR 70,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Not Aged,ph,AT,3
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,1
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,2
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,3
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,1
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,2
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,3
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,1
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,2
AR 71,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,3
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,1
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,2
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,3
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,1
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,2
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,3
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,1
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,2
AR 72,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,3
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,1
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,2
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,3
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,1
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,2
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,3
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,1
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,2
AR 73,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,3
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,1
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,2
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,3
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,1
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,2
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,3
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,1
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,2
AR 74,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,3
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,1
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,2
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,BT,3
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,1
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,2
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AT,3
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,1
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,2
AR 75,Blue Sample Book Alum Rosin Paper,5% Agarose,Interleaving,Aged,ph,AA,3
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,BT,1
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,BT,2
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,BT,3
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,AT,1
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,AT,2
18c 01,18th Century Antique Paper,Control,Control,Not Aged,ph,AT,3
18c 02,18th Century Antique Paper,Control,Control,Not Aged,ph,BT,1
